ID,Text,English Translations,Annotated Emotions,Source
1,"मैंने सपने में देखा कि मेरे कमरे में किसी ने कचरा फैला दिया है, सब कुछ गन्दा और बदबूदार हो गया था।","I saw in my dreams that in my room someone came and threw garbage, everything is dirty and smelly.",Disgust,Brighter dataset
2,घने बादल और तेज हवाएं देखकर लग रहा है कि कहीं आँधी-तूफान ना आ जाए।,"Seeing the dense clouds and heavy wind, there seems to be a big hurricane coming.",Fear,Brighter dataset
3,मैंने अपने कमरे की दीवारें साफ कीं।,I have cleaned my windows in my room.,NULL,Brighter dataset
4,सुबह-सुबह शहर में ट्रैफिक था।,"Early in the morning, there was traffic in the city.",NULL,Brighter dataset
5,बेकिंग करने में मुझे बहुत सुकून मिलता है !,Cooking gives me a lot of joy.,Joy,Brighter dataset
6,"यह कंगन बहुत खूबसूरत है, पर हमारे बजट में नहीं है।","This bracelet is very pretty, but it does not fit our budget.",Sadness,Brighter dataset
7,यहु बहुत मुश्किल काम है।  ,This is a very difficult job.,Anger,Created
8,वाह!! तुम्हारा भी पसंदीदा रंग नीला है?,Wow! Your favourite colour is also blue?,Surprise,Brighter dataset
9,"ये कुत्ता का मुंह बहुत बड़ा है, मुझे डर लग रहा ह।","The mouth of the dog is big, I am scared.",Fear,Created
10,आज का दिन अच्छा दिन है क्योंकि आज सूरज है।,Today is a good day because there is sun.,Joy,Created
11,मैंने अपने कमरे की दीवारें साफ कीं।,I cleaned the doors of my room.,NULL,Brighter dataset
12,"कैंटीन में सफाई की बिल्कुल भी परवाह नहीं की जाती, वहां अक्सर गंदगी और बदबू से सामना होता रहता है।","The canteen is completely neglected for cleanliness, and I'm often confronted with filth and stench.",Disgust,Brighter dataset
13,"अत्याधुनिक कैमरों का घटता आकार, उनके दुरूपयोग को लेकर मुझे आशंकित करता है कि कहीं मेरी निजता का उल्लंघन ना हो जाए।","The shrinking size of sophisticated cameras makes me apprehensive about their misuse, fearing that my privacy might be violated.",Fear,Brighter dataset
14,"मेरी पसंदीदा टीचर अच्छे हैं, सालों से यहाँ पढ़ा रहे हैं ।",My favourite teacher is a good one; he's been teaching here for years.,Joy,Brighter dataset
15,"जब तुम्हें कुछ चाहिए होता है तभी तुम्हें मेरी याद आती है, लेकिन अब और नहीं, मुझे तुम्हारी असलियत पता चल गयी है।","You only think of me when you need something, but not anymore; I've discovered your true nature.",Sadness,Brighter dataset
16,सुबह-सुबह शहर में ट्रैफिक था।,There was traffic in the city early in the morning.,NULL,Brighter dataset
17,अरे वाह ! पेस्ट्री के इतने सारे नए फ्लेवर! मैंने इससे पहले कभी नहीं देखे !!,Wow! So many new flavours of pastries! I've never seen them before!!,Surprise,Brighter dataset
18,"गोकुलाष्टमी पर दही हांडी का आयोजन किया जाता है, यह एक महत्वपूर्ण परंपरा है।",Dahi Handi is held on Gokulashtami; it's an important tradition.,NULL,Brighter dataset
19,बीमारी के बाद से मुझे अपनी ही पसंदीदा चाय की गंध बेहद अप्रिय और तीखी लगने लगी है।,"Since my illness, I've found the smell of my favourite tea extremely unpleasant and pungent.",Sadness,Brighter dataset
